character,components,phonetic,meaning,example_word
半,-,bàn,Demi,半年 bànnián : Six mois
点,占 (occuper) + 灬 (clef : feu),diǎn,Heure,三点 sān diǎn : Trois heures
分,八 (clef : huit) + 刀 (couteau),fēn,Minute,分钟 fēnzhōng : Minute
工,-,gōng,Travailleur,工作 gōngzuò : Travailler
号,口 (clef : bouche) + 丂,hào,Jour/numéro,一号 yī hào : Numéro 1
今,-,jīn,Présent,今天 jīntiān : Aujourd'hui
明,日 (clef : soleil) + 月 (lune),míng,Clarté,明天 míngtiān : Demain
年,-,nián,Année,今年 jīnnián : Cette année
上,Pictogramme,shàng,Sur/dessus,早上 zǎoshang : Matin
天,一 (un) + 大 (grand),tiān,Ciel/jour,明天 míngtiān : Demain
晚,日 (clef : soleil) + 免,wǎn,Tard,晚上 wǎnshàng : Soir
午,-,wǔ,Journée,下午 xiàwǔ : Après-midi
下,Pictogramme,xià,Sous/dessous,下午 xiàwǔ : Après-midi
月,Pictogramme,yuè,Mois/lune,三月 sān yuè : Mars
早,日 (clef : soleil) + 十 (dix),zǎo,Tôt,早上 zǎoshang : Matin
作,亻 (clef : homme) + 乍,zuò,Écrits/Travaux,工作 gōngzuò : Travailler
昨,日 (clef : soleil) + 乍,zuó,Hier,昨天 zuótiān : Hier
