word,translation,type,pinyin
时候,Moment,Noms et expressions,Shíhou
中文,Chinois (langue),Noms et expressions,Zhōngwén
哪儿/哪里,Où?,Interrogatifs,Nǎr/Nǎlǐ
什么时候,Quand?,Interrogatifs,Shénme shíhou
为什么,Pourquoi?,Interrogatifs,Wèishénme
去,Aller,Verbes,Qù
睡觉,Dormir,Verbes,Shuìjiào
喜欢,Aimer,Verbes,Xǐhuan
学习,Étudier,Verbes,Xuéxí
在,Se situer à/en,Verbes,Zài
过,Déjà,Divers,Guo
因为,Parce que,Divers,Yīnwèi
所以,Donc,Divers,Suǒyǐ
再,À nouveau,Divers,Zài
上海,Shanghai,Noms et expressions,Shànghǎi
浦东,Pudong,Noms et expressions,Pǔdōng
北京,Pékin,Noms et expressions,Běijīng
天安门,Porte Tian An Men,Noms et expressions,Tiān'ānmén
