word,translation,type,pinyin
不用谢,De rien !,Noms et expressions,Bù yòng xiè
公交车站,Arrêt de bus,Noms et expressions,Gōngjiāochē zhàn
后面,Derrière,Noms et expressions,Hòumiàn
块,Unité monétaire chinoise,Noms et expressions,Kuài
里面,À l'intérieur,Noms et expressions,Lǐmiàn
票,Billet (transport),Noms et expressions,Piào
前 (面),En face/devant,Noms et expressions,Qián (miàn)
市中心,Centre-ville,Noms et expressions,Shìzhōngxīn
图书馆,Bibliothèque,Noms et expressions,Túshūguǎn
心,Cœur,Noms et expressions,Xīn
右 (边),Droite,Noms et expressions,Yòu (bian)
站,Arrêt (transport),Noms et expressions,Zhàn
左 (边),Gauche,Noms et expressions,Zuǒ (bian)
线路,Ligne (transport),Noms et expressions,Xiànlù
十字路口,Carrefour,Noms et expressions,Shízi lùkǒu
大约...左右,Environ...,Noms et expressions,Dàyuē... zuǒyòu
乘,Prendre/monter dans,Verbes,Chéng
拐,Tourner,Verbes,Guǎi
往,Se diriger vers,Verbes,Wǎng
贵,Cher,Adjectifs,Guì
近,Proche,Adjectifs,Jìn
快,Rapide,Adjectifs,Kuài
远,Loin,Adjectifs,Yuǎn
第,Pour nombres ordinaux,Divers,Dì
离,Par rapport à,Divers,Lí
条,Classificateur (objets longs),Divers,Tiáo
或是,Ou bien,Divers,Huòshì
