word,translation,type,pinyin,level
一,Un,Chiffres et nombres,Yī,A1
二/两,Deux/deux (quantité),Chiffres et nombres,Ér/liǎng,A1
三,Trois,Chiffres et nombres,Sān,A1
四,Quatre,Chiffres et nombres,Sì,A1
五,Cinq,Chiffres et nombres,Wǔ,A1
六,Six,Chiffres et nombres,Liù,A1
七,Sept,Chiffres et nombres,Qī,A1
八,Huit,Chiffres et nombres,Bā,A1
九,Neuf,Chiffres et nombres,Jiǔ,A1
十,Dix,Chiffres et nombres,Shí,A1
百,Cent,Chiffres et nombres,Bǎi,A1
千,Mille,Chiffres et nombres,Qiān,A1
狗,Chien,Noms,Gǒu,A1
岁,Années (âge),Noms,Suì,A1
几,Combien de...?,Interrogatifs,Jǐ,A1
没有,Ne pas avoir,Verbes,Méiyǒu,A1
有,Avoir,Verbes,Yǒu,A1
大,Grand,Adjectifs,Dà,A1
多,Beaucoup,Adjectifs,Duō,A1
本,Classification (objets reliés),Divers,Běn,A1
个,Classification universelle,Divers,Gè,A1
了,Particule d'actualisation finale,Divers,Le,A1
书,Livre,Noms,Shū,A1
