word,translation,type,pinyin,level
你好,Bonjour,Salutations,Nǐhǎo,A1
再见,Au revoir,Salutations,Zàijiàn,A1
晚上好,Bonsoir,Salutations,Wǎnshànghǎo,A1
早上好,Bonjour (matin),Salutations,Zǎoshanghǎo,A1
你好吗,Comment vas-tu,Salutations,Nǐ hǎo ma,A1
谢谢,Merci,Expressions utiles,Xièxie,A1
不好意思,Désolé,Expressions utiles,Bù háoyìsi,A1
我不懂,Je ne comprends pas,Expressions utiles,Wǒ bù dǒng,A1
请问,Excusez-moi (avant de poser une question),Expressions utiles,Qǐngwèn,A1
我很好,Je vais bien,Expressions utiles,Wǒ hěn hǎo,A1
我也很好,Je vais bien aussi,Expressions utiles,Wǒ yě hěn hǎo,A1
